- - - - - - - experiments/1_class/10_in_clusters.argos experiments/1_class/10_in_lines.argos experiments/1_class/3_in_clusters.argos experiments/1_class/3_in_lines.argos experiments/1_class/4_in_clusters.argos experiments/1_class/4_in_lines.argos experiments/1_class/5_in_clusters.argos experiments/1_class/5_in_lines.argos experiments/1_class/6_in_clusters.argos experiments/1_class/7_in_clusters.argos experiments/2_class/10_in_clusters.argos experiments/2_class/10_in_lines.argos experiments/2_class/3_in_clusters.argos experiments/2_class/3_in_lines.argos experiments/2_class/4_in_clusters.argos experiments/2_class/4_in_lines.argos experiments/2_class/5_in_clusters.argos experiments/2_class/5_in_lines.argos experiments/4_class/10_in_clusters.argos experiments/4_class/10_in_lines.argos experiments/4_class/12_uniform_0.05_density.argos experiments/4_class/12_uniform_0.10_density.argos experiments/4_class/12_uniform_0.20_density.argos experiments/4_class/16_uniform_0.05_density.argos experiments/4_class/16_uniform_0.10_density.argos experiments/4_class/16_uniform_0.20_density.argos experiments/4_class/20_uniform_0.05_density.argos experiments/4_class/20_uniform_0.10_density.argos experiments/4_class/20_uniform_0.20_density.argos experiments/4_class/3_in_clusters.argos experiments/4_class/3_in_lines.argos experiments/4_class/40_uniform_0.05_density.argos experiments/4_class/40_uniform_0.10_density.argos experiments/4_class/40_uniform_0.20_density.argos experiments/4_class/4_in_clusters.argos experiments/4_class/4_in_lines.argos experiments/4_class/5_in_clusters.argos experiments/4_class/5_in_lines.argos 
0 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 3299212057.723 2869678227.812 1154784940.548 701205139.748 972894502.749 1442606105.818 1744388763.043 1685031136.771 1402963117.929 1399556945.065 162554246.240 285497238.422 190298566.449 445052355.232 330125730.214 205306604.713 761995103.894 613780096.042 691051988.864 452715741.329 -114633478.062 1332497552.939 1446209891.621 1304443200.420 414618478.407 323712741.237 878974235.199 544558792.435 
1 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -0.6667 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 3299212057.723 2869678227.812 1154784940.548 701205139.748 972894502.749 1442606105.818 1744388763.043 1685031136.771 1402963117.929 1399556945.065 162554246.240 285497238.422 190298566.449 445052355.232 330125730.214 205306604.713 761995103.894 613780096.042 691051988.864 452715741.329 -114633478.062 1332497552.939 1446209891.621 1304443200.420 414618478.407 323712741.237 878974235.199 544558792.435 
2 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -0.3333 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 3299212057.723 2869678227.812 1154784940.548 701205139.748 972894502.749 1442606105.818 1744388763.043 1685031136.771 1402963117.929 1399556945.065 162554246.240 285497238.422 190298566.449 445052355.232 330125730.214 205306604.713 761995103.894 613780096.042 691051988.864 452715741.329 -114633478.062 1332497552.939 1446209891.621 1304443200.420 414618478.407 323712741.237 878974235.199 544558792.435 
3 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 0.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 3299212057.723 2869678227.812 1154784940.548 701205139.748 972894502.749 1442606105.818 1744388763.043 1685031136.771 1402963117.929 1399556945.065 162554246.240 285497238.422 190298566.449 445052355.232 330125730.214 205306604.713 761995103.894 613780096.042 691051988.864 452715741.329 -114633478.062 1332497552.939 1446209891.621 1304443200.420 414618478.407 323712741.237 878974235.199 544558792.435 
4 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 0.3333 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 3299212057.723 2869678227.812 1154784940.548 701205139.748 972894502.749 1442606105.818 1744388763.043 1685031136.771 1402963117.929 1399556945.065 162554246.240 285497238.422 190298566.449 445052355.232 330125730.214 205306604.713 761995103.894 613780096.042 691051988.864 452715741.329 -114633478.062 1332497552.939 1446209891.621 1304443200.420 414618478.407 323712741.237 878974235.199 544558792.435 
5 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 0.6667 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 3299212057.723 2869678227.812 1154784940.548 701205139.748 972894502.749 1442606105.818 1744388763.043 1685031136.771 1402963117.929 1399556945.065 162554246.240 285497238.422 190298566.449 445052355.232 330125730.214 205306604.713 761995103.894 613780096.042 691051988.864 452715741.329 -114633478.062 1332497552.939 1446209891.621 1304443200.420 414618478.407 323712741.237 878974235.199 544558792.435 
6 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 1.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 3299212057.723 2869678227.812 1154784940.548 701205139.748 972894502.749 1442606105.818 1744388763.043 1685031136.771 1402963117.929 1399556945.065 162554246.240 285497238.422 190298566.449 445052355.232 330125730.214 205306604.713 761995103.894 613780096.042 691051988.864 452715741.329 -114633478.062 1332497552.939 1446209891.621 1304443200.420 414618478.407 323712741.237 878974235.199 544558792.435 
7 -1.0000 -1.0000 -1.0000 -1.0000 -0.6667 -1.0000 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2366623484.667 1971698330.829 416666979.506 472008975.062 1149135952.814 -47395995.067 837498440.347 1076237105.022 677191417.625 599341484.477 -209638100.191 48861043.725 99950605.573 38942982.870 -6337168.016 198313241.441 325989841.675 404889097.900 330047270.268 44378668.833 -3571888.204 850585496.492 673412101.563 740229238.734 178243135.371 163869525.374 304583407.533 297279914.766 
8 -1.0000 -1.0000 -1.0000 -1.0000 -0.6667 -0.6667 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2366623484.667 1971698330.829 416666979.506 472008975.062 1149135952.814 -47395995.067 837498440.347 1076237105.022 677191417.625 599341484.477 -209638100.191 48861043.725 99950605.573 38942982.870 -6337168.016 198313241.441 325989841.675 404889097.900 330047270.268 44378668.833 -3571888.204 850585496.492 673412101.563 740229238.734 178243135.371 163869525.374 304583407.533 297279914.766 
9 -1.0000 -1.0000 -1.0000 -1.0000 -0.6667 -0.3333 5901746626.582 6552103013.785 2290316894.355 1782951818.817 2701069972.508 2993502941.134 3523317247.921 3602379257.482 7865204431.346 4663372328.578 2366623484.667 1971698330.829 416666979.506 472008975.062 1149135952.814 -47395995.067 837498440.347 1076237105.022 677191417.625 599341484.477 -209638100.191 48861043.725 99950605.573 38942982.870 -6337168.016 198313241.441 325989841.675 404889097.900 330047270.268 44378668.833 -3571888.204 850585496.492 673412101.563 740229238.734 178243135.371 163869525.374 304583407.533 297279914.766 
